"* Will be calculated in the transaction.","* จะถูกคำนวณในธุรกรรม",""
"** Failed: {0} to {1}: {2}","** ล้มเหลว: {0} ถึง {1}: {2}",""
"+ Add / Remove Fields","+ เพิ่ม / ลบฟิลด์",""
"0 - Draft; 1 - Submitted; 2 - Cancelled","0 - ร่าง; 1 - ส่ง; 2 - ยกเลิก",""
"0 is highest","0 คือสูงสุด",""
"1 = True & 0 = False","1 = จริง & 0 = เท็จ",""
"1 Currency = [?] Fraction|||For e.g. 1 USD = 100 Cent","1 สกุลเงิน = [?] เศษส่วน|||ตัวอย่างเช่น 1 USD = 100 เซ็นต์",""
"1 Day","1 วัน",""
"1 Google Calendar Event synced.","1 เหตุการณ์ Google Calendar ซิงค์แล้ว",""
"1 Loyalty Points = How much base currency?","1 คะแนนสะสม = เท่าไหร่ในสกุลเงินฐาน?",""
"1 Report","1 รายงาน",""
"1 comment","1 ความคิดเห็น",""
"1 day ago","1 วันที่ผ่านมา",""
"1 hour","1 ชั่วโมง",""
"1 hour ago","1 ชั่วโมงที่แล้ว",""
"1 minute ago","1 นาทีที่แล้ว",""
"1 month ago","1 เดือนที่แล้ว",""
"1 of 2","1 จาก 2",""
"1 record will be exported","1 รายการจะถูกส่งออก",""
"1 second ago","1 วินาทีที่แล้ว",""
"1 week ago","1 สัปดาห์ที่แล้ว",""
"1 year ago","1 ปีที่แล้ว",""
"1{0}","1{0}",""
"2 additional copies will print 3 copies, 1 original and 2 copies. For jinja template, doc.copy = 0 is original, else copies.","2 สำเนาเพิ่มเติมจะพิมพ์ 3 สำเนา, 1 ต้นฉบับและ 2 สำเนา สำหรับแม่แบบ jinja, doc.copy = 0 คือต้นฉบับ, มิฉะนั้นสำเนา",""
"2 hours ago","2 ชั่วโมงที่แล้ว",""
"2 months ago","2 เดือนที่แล้ว",""
"2 weeks ago","2 สัปดาห์ที่แล้ว",""
"2 years ago","2 ปีที่แล้ว",""
"3 minutes ago","3 นาทีที่แล้ว",""
"30 minutes","30 นาที",""
"30-60","30-60",""
"30-60 Days","30-60 วัน",""
"4 hours","4 ชั่วโมง",""
"5 Records","5 รายการ",""
"5 days ago","5 วันที่ผ่านมา",""
"6 hrs","6 ชั่วโมง",""
"60 - 90 Days","60 - 90 วัน",""
"60-90","60-90",""
"60-90 Days","60-90 วัน",""
"90 - 120 Days","90 - 120 วัน",""
"90 Above","90 ขึ้นไป",""
"; not allowed in condition","; ไม่อนุญาตในเงื่อนไข",""
"<b>Customer is required for Sales Tax Invoice!</b><br/>Please edit accounting entry with Tax account and choose <b>Customer</b> under Overwrite Tax invoice section.","<b>ต้องการลูกค้าสำหรับใบกำกับภาษีขาย!</b><br/>โปรดแก้ไขรายการบัญชีด้วยบัญชีภาษีและเลือก <b>ลูกค้า</b> ภายใต้ส่วนเขียนทับใบกำกับภาษี",""
"<b>From Time</b> cannot be later than <b>To Time</b> for {0}","<b>จากเวลา</b> ไม่สามารถเกิน <b>ถึงเวลา</b> สำหรับ {0}",""
"<b>Note:</b> If checked, each payment will submitted immediatelly to ensure that amount is allocted properly.","<b>หมายเหตุ:</b> หากเลือก การชำระเงินแต่ละครั้งจะถูกส่งทันทีเพื่อให้แน่ใจว่าจำนวนเงินถูกจัดสรรอย่างเหมาะสม",""
"<b>Supplier is required for Purchase Tax Invoice!</b><br/>Please edit accounting entry with Tax account and choose <b>Supplier</b> under Overwrite Tax invoice section.","<b>ต้องการผู้จัดจำหน่ายสำหรับใบกำกับภาษีซื้อ!</b><br/>โปรดแก้ไขรายการบัญชีด้วยบัญชีภาษีและเลือก <b>ผู้จัดจำหน่าย</b> ภายใต้ส่วนเขียนทับใบกำกับภาษี",""
"<b>{0}</b> is not a valid URL","<b>{0}</b> ไม่ใช่ URL ที่ถูกต้อง",""
"Are you sure you want to delete this Item?","คุณแน่ใจหรือไม่ว่าต้องการลบรายการนี้?",""
"Are you sure you want to delete {0}?<p>This action will also delete all associated Common Code documents.</p>","คุณแน่ใจหรือไม่ว่าต้องการลบ {0}?<p>การดำเนินการนี้จะลบเอกสาร Common Code ที่เกี่ยวข้องทั้งหมดด้วย</p>",""
"Are you sure you want to discard the changes?","คุณแน่ใจหรือไม่ว่าต้องการละทิ้งการเปลี่ยนแปลง?",""
"Are you sure you want to generate a new report?","คุณแน่ใจหรือไม่ว่าต้องการสร้างรายงานใหม่?",""
"Are you sure you want to merge {0} with {1}?","คุณแน่ใจหรือไม่ว่าต้องการรวม {0} กับ {1}?",""
"Are you sure you want to proceed?","คุณแน่ใจหรือไม่ว่าต้องการดำเนินการต่อ?",""
"Are you sure you want to re-enable scheduler?","คุณแน่ใจหรือไม่ว่าต้องการเปิดใช้งานตัวจัดตารางเวลาอีกครั้ง?",""
"Are you sure you want to relink this communication to {0}?","คุณแน่ใจหรือไม่ว่าต้องการเชื่อมโยงการสื่อสารนี้กับ {0} อีกครั้ง?",""
"Are you sure you want to remove all failed jobs?","คุณแน่ใจหรือไม่ว่าต้องการลบงานที่ล้มเหลวทั้งหมด?",""
"Are you sure you want to remove the {0} filter?","คุณแน่ใจหรือไม่ว่าต้องการลบตัวกรอง {0}?",""
"Are you sure you want to reset all customizations?","คุณแน่ใจหรือไม่ว่าต้องการรีเซ็ตการปรับแต่งทั้งหมด?",""
"Are you sure you want to restart this subscription?","คุณแน่ใจหรือไม่ว่าต้องการเริ่มการสมัครสมาชิกนี้ใหม่?",""
"Are you sure you want to save this document?","คุณแน่ใจหรือไม่ว่าต้องการบันทึกเอกสารนี้?",""
"Are you sure you want to send this newsletter now?","คุณแน่ใจหรือไม่ว่าต้องการส่งจดหมายข่าวนี้ตอนนี้?",""
"Are you sure?","คุณแน่ใจหรือไม่?",""
"Area","พื้นที่",""
"Area UOM","หน่วยวัดพื้นที่",""
"Arguments","อาร์กิวเมนต์",""
"Arial","อารีอัล",""
"Arrival Quantity","ปริมาณที่มาถึง",""
"As On Date","ณ วันที่",""
"As a best practice, do not assign the same set of permission rule to different Roles. Instead, set multiple Roles to the same User.","เพื่อเป็นแนวทางปฏิบัติที่ดีที่สุด อย่ากำหนดกฎการอนุญาตชุดเดียวกันให้กับบทบาทที่แตกต่างกัน แต่ให้กำหนดบทบาทหลายบทบาทให้กับผู้ใช้คนเดียวกัน",""
"As document sharing is disabled, please give them the required permissions before assigning.","เนื่องจากการแชร์เอกสารถูกปิดใช้งาน โปรดให้สิทธิ์ที่จำเป็นก่อนที่จะกำหนด",""
"As on Date","ณ วันที่",""
"As per Stock UOM","ตามหน่วยวัดสต็อก",""
"As per your request, your account and data on {0} associated with email {1} has been permanently deleted","ตามคำขอของคุณ บัญชีและข้อมูลของคุณบน {0} ที่เชื่อมโยงกับอีเมล {1} ได้ถูกลบอย่างถาวร",""
"As the field {0} is enabled, the field {1} is mandatory.","เนื่องจากฟิลด์ {0} ถูกเปิดใช้งาน ฟิลด์ {1} จึงเป็นฟิลด์บังคับ",""
"As the field {0} is enabled, the value of the field {1} should be more than 1.","เนื่องจากฟิลด์ {0} ถูกเปิดใช้งาน ค่าของฟิลด์ {1} ควรมากกว่า 1",""
"As there are existing submitted transactions against item {0}, you can not change the value of {1}.","เนื่องจากมีธุรกรรมที่ส่งแล้วที่เกี่ยวข้องกับรายการ {0} คุณไม่สามารถเปลี่ยนค่าของ {1} ได้",""
"As there are negative stock, you can not enable {0}.","เนื่องจากมีสต็อกติดลบ คุณไม่สามารถเปิดใช้งาน {0} ได้",""
"As there are reserved stock, you cannot disable {0}.","เนื่องจากมีสต็อกที่ถูกจองไว้ คุณไม่สามารถปิดใช้งาน {0} ได้",""
"As there are sufficient Sub Assembly Items, Work Order is not required for Warehouse {0}.","เนื่องจากมีรายการชิ้นส่วนย่อยเพียงพอ จึงไม่จำเป็นต้องมีคำสั่งงานสำหรับคลังสินค้า {0}",""
"As there are sufficient raw materials, Material Request is not required for Warehouse {0}.","เนื่องจากมีวัตถุดิบเพียงพอ จึงไม่จำเป็นต้องมีคำขอวัสดุสำหรับคลังสินค้า {0}",""
"As {0} is enabled, you can not enable {1}.","เนื่องจาก {0} ถูกเปิดใช้งาน คุณไม่สามารถเปิดใช้งาน {1} ได้",""
"Assembly Items","รายการชิ้นส่วนประกอบ",""
"Asset","สินทรัพย์",""
"Asset Account","บัญชีสินทรัพย์",""
"Asset Activity","กิจกรรมสินทรัพย์",""
"Asset Capitalization","การเพิ่มมูลค่าสินทรัพย์",""
"Asset Capitalization Asset Item","รายการสินทรัพย์ที่เพิ่มมูลค่าสินทรัพย์",""
"Asset Capitalization Service Item","รายการบริการที่เพิ่มมูลค่าสินทรัพย์",""
"Asset Capitalization Stock Item","รายการสต็อกที่เพิ่มมูลค่าสินทรัพย์",""
"Asset Category","หมวดหมู่สินทรัพย์",""
"Asset Category Account","บัญชีหมวดหมู่สินทรัพย์",""
"Asset Category Name","ชื่อหมวดหมู่สินทรัพย์",""
"Asset Category is mandatory for Fixed Asset item","หมวดหมู่สินทรัพย์เป็นฟิลด์บังคับสำหรับรายการสินทรัพย์ถาวร",""
"Asset Depreciation Cost Center","ศูนย์ต้นทุนค่าเสื่อมราคาสินทรัพย์",""
"Asset Depreciation Ledger","บัญชีแยกประเภทค่าเสื่อมราคาสินทรัพย์",""
"Asset Depreciation Schedule","ตารางค่าเสื่อมราคาสินทรัพย์",""
"Asset Depreciation Schedule for Asset {0} and Finance Book {1} is not using shift based depreciation","ตารางค่าเสื่อมราคาสินทรัพย์สำหรับสินทรัพย์ {0} และสมุดการเงิน {1} ไม่ได้ใช้ค่าเสื่อมราคาตามกะ",""
"Asset Depreciation Schedule not found for Asset {0} and Finance Book {1}","ไม่พบตารางค่าเสื่อมราคาสินทรัพย์สำหรับสินทรัพย์ {0} และสมุดการเงิน {1}",""
"Asset Depreciation Schedule {0} for Asset {1} already exists.","ตารางค่าเสื่อมราคาสินทรัพย์ {0} สำหรับสินทรัพย์ {1} มีอยู่แล้ว",""
"Asset Depreciation Schedule {0} for Asset {1} and Finance Book {2} already exists.","ตารางค่าเสื่อมราคาสินทรัพย์ {0} สำหรับสินทรัพย์ {1} และสมุดการเงิน {2} มีอยู่แล้ว",""
"Asset Depreciation Schedules created/updated:<br>{0}<br><br>Please check, edit if needed, and submit the Asset.","ตารางค่าเสื่อมราคาสินทรัพย์ที่สร้าง/อัปเดต:<br>{0}<br><br>โปรดตรวจสอบ แก้ไขหากจำเป็น และส่งสินทรัพย์",""
"Asset Depreciations and Balances","ค่าเสื่อมราคาสินทรัพย์และยอดคงเหลือ",""
"Asset Details","รายละเอียดสินทรัพย์",""
"Asset Disposal","การจำหน่ายสินทรัพย์",""
"Asset Finance Book","สมุดการเงินสินทรัพย์",""
"Asset ID","รหัสสินทรัพย์",""
"Asset Location","ตำแหน่งสินทรัพย์",""
"Asset Maintenance","การบำรุงรักษาสินทรัพย์",""
"Asset Maintenance Log","บันทึกการบำรุงรักษาสินทรัพย์",""
"Asset Maintenance Task","งานบำรุงรักษาสินทรัพย์",""
"Asset Maintenance Team","ทีมบำรุงรักษาสินทรัพย์",""
"Asset Movement","การเคลื่อนย้ายสินทรัพย์",""
"Asset Movement Item","รายการการเคลื่อนย้ายสินทรัพย์",""
"Asset Movement record {0} created","สร้างบันทึกการเคลื่อนย้ายสินทรัพย์ {0} แล้ว",""
"Asset Name","ชื่อสินทรัพย์",""
"Asset Naming Series","ชุดการตั้งชื่อสินทรัพย์",""
"Asset Owner","เจ้าของสินทรัพย์",""
"Asset Owner Company","บริษัทเจ้าของสินทรัพย์",""
"Asset Quantity","ปริมาณสินทรัพย์",""
"Asset Received But Not Billed","สินทรัพย์ที่ได้รับแต่ยังไม่ได้เรียกเก็บเงิน",""
"Asset Repair","การซ่อมแซมสินทรัพย์",""
"Asset Repair Consumed Item","รายการที่ใช้ในการซ่อมแซมสินทรัพย์",""
"Asset Repair Purchase Invoice","ใบแจ้งหนี้การซื้อสำหรับการซ่อมแซมสินทรัพย์",""
"Asset Settings","การตั้งค่าสินทรัพย์",""
"Asset Shift Allocation","การจัดสรรกะสินทรัพย์",""
"Asset Shift Factor","ปัจจัยกะสินทรัพย์",""
"Asset Shift Factor {0} is set as default currently. Please change it first.","ปัจจัยกะสินทรัพย์ {0} ถูกตั้งเป็นค่าเริ่มต้นในปัจจุบัน โปรดเปลี่ยนก่อน",""
"Asset Status","สถานะสินทรัพย์",""
"Asset Value","มูลค่าสินทรัพย์",""
"Asset Value Adjustment","การปรับมูลค่าสินทรัพย์",""
"Asset Value Adjustment cannot be posted before Asset's purchase date <b>{0}</b>.","ไม่สามารถบันทึกการปรับมูลค่าสินทรัพย์ก่อนวันที่ซื้อสินทรัพย์ <b>{0}</b> ได้",""
"Asset Value Analytics","การวิเคราะห์มูลค่าสินทรัพย์",""
"Asset cancelled","สินทรัพย์ถูกยกเลิก",""
"Asset cannot be cancelled, as it is already {0}","ไม่สามารถยกเลิกสินทรัพย์ได้ เนื่องจากมันอยู่ในสถานะ {0} แล้ว",""
"Asset cannot be scrapped before the last depreciation entry.","ไม่สามารถทิ้งสินทรัพย์ได้ก่อนการบันทึกค่าเสื่อมราคาครั้งสุดท้าย",""
"Asset capitalized after Asset Capitalization {0} was submitted","สินทรัพย์ถูกเพิ่มมูลค่าหลังจากการส่งการเพิ่มมูลค่าสินทรัพย์ {0}",""
"Asset created","สินทรัพย์ถูกสร้าง",""
"Asset created after Asset Capitalization {0} was submitted","สินทรัพย์ถูกสร้างหลังจากการส่งการเพิ่มมูลค่าสินทรัพย์ {0}",""
"Asset created after being split from Asset {0}","สินทรัพย์ถูกสร้างหลังจากแยกออกจากสินทรัพย์ {0}",""
"Asset deleted","สินทรัพย์ถูกลบ",""
"Asset issued to Employee {0}","สินทรัพย์ถูกออกให้พนักงาน {0}",""
"Asset out of order due to Asset Repair {0}","สินทรัพย์ไม่สามารถใช้งานได้เนื่องจากการซ่อมแซมสินทรัพย์ {0}",""
"Asset received at Location {0} and issued to Employee {1}","สินทรัพย์ได้รับที่ตำแหน่ง {0} และออกให้พนักงาน {1}",""
"Asset restored","สินทรัพย์ถูกกู้คืน",""
"Asset restored after Asset Capitalization {0} was cancelled","สินทรัพย์ถูกกู้คืนหลังจากการยกเลิกการเพิ่มมูลค่าสินทรัพย์ {0}",""
"Asset returned","สินทรัพย์ถูกคืน",""
"Asset scrapped","สินทรัพย์ถูกทิ้ง",""
"Asset scrapped via Journal Entry {0}","สินทรัพย์ถูกทิ้งผ่านรายการบัญชี {0}",""
"Asset sold","สินทรัพย์ถูกขาย",""
"Asset submitted","สินทรัพย์ถูกส่ง",""
"Asset transferred to Location {0}","สินทรัพย์ถูกย้ายไปยังตำแหน่ง {0}",""
"Asset updated after being split into Asset {0}","สินทรัพย์ถูกอัปเดตหลังจากแยกออกเป็นสินทรัพย์ {0}",""
"Asset updated due to Asset Repair {0} {1}.","สินทรัพย์ถูกอัปเดตเนื่องจากการซ่อมแซมสินทรัพย์ {0} {1}",""
"Asset {0} cannot be received at a location and given to an employee in a single movement","สินทรัพย์ {0} ไม่สามารถรับที่ตำแหน่งและมอบให้พนักงานในครั้งเดียวได้",""
"Asset {0} cannot be scrapped, as it is already {1}","สินทรัพย์ {0} ไม่สามารถทิ้งได้ เนื่องจากมันอยู่ในสถานะ {1} แล้ว",""
"Asset {0} does not belong to Item {1}","สินทรัพย์ {0} ไม่ได้เป็นของรายการ {1}",""
"Asset {0} does not belong to company {1}","สินทรัพย์ {0} ไม่ได้เป็นของบริษัท {1}",""
"Asset {0} does not belongs to the custodian {1}","สินทรัพย์ {0} ไม่ได้เป็นของผู้ดูแล {1}",""
"Asset {0} does not belongs to the location {1}","สินทรัพย์ {0} ไม่ได้เป็นของตำแหน่ง {1}",""
"Asset {0} does not exist","สินทรัพย์ {0} ไม่มีอยู่",""
"Asset {0} has been created. Please set the depreciation details if any and submit it.","สินทรัพย์ {0} ถูกสร้างแล้ว โปรดตั้งค่ารายละเอียดค่าเสื่อมราคาหากมีและส่ง",""
"Asset {0} has been updated. Please set the depreciation details if any and submit it.","สินทรัพย์ {0} ถูกอัปเดตแล้ว โปรดตั้งค่ารายละเอียดค่าเสื่อมราคาหากมีและส่ง",""
"Asset {0} must be submitted","สินทรัพย์ {0} ต้องถูกส่ง",""
"Asset {assets_link} created for {item_code}","สินทรัพย์ {assets_link} ถูกสร้างสำหรับ {item_code}",""
"Asset's depreciation schedule updated after Asset Shift Allocation {0}","ตารางค่าเสื่อมราคาสินทรัพย์ถูกอัปเดตหลังจากการจัดสรรกะสินทรัพย์ {0}",""
"Asset's value adjusted after cancellation of Asset Value Adjustment {0}","มูลค่าสินทรัพย์ถูกปรับหลังจากการยกเลิกการปรับมูลค่าสินทรัพย์ {0}",""
"Asset's value adjusted after submission of Asset Value Adjustment {0}","มูลค่าสินทรัพย์ถูกปรับหลังจากการส่งการปรับมูลค่าสินทรัพย์ {0}",""
"Assets","สินทรัพย์",""
"Assets not created for {item_code}. You will have to create asset manually.","สินทรัพย์ไม่ได้ถูกสร้างสำหรับ {item_code} คุณจะต้องสร้างสินทรัพย์ด้วยตนเอง",""
"Assets {assets_link} created for {item_code}","สินทรัพย์ {assets_link} ถูกสร้างสำหรับ {item_code}",""
"BOM 1 {0} and BOM 2 {1} should not be same","BOM 1 {0} และ BOM 2 {1} ไม่ควรเหมือนกัน",""
"BOM Comparison Tool","เครื่องมือเปรียบเทียบ BOM",""
"BOM Created","สร้าง BOM แล้ว",""
"BOM Creator","ผู้สร้าง BOM",""
"BOM Creator Item","รายการผู้สร้าง BOM",""
"BOM Detail No","หมายเลขรายละเอียด BOM",""
"BOM Explorer","ตัวสำรวจ BOM",""
"BOM Explosion Item","รายการการระเบิด BOM",""
"BOM ID","รหัส BOM",""
"BOM Info","ข้อมูล BOM",""
"BOM Item","รายการ BOM",""
"BOM Level","ระดับ BOM",""
"BOM No","หมายเลข BOM",""
"BOM No (For Semi-Finished Goods)","หมายเลข BOM (สำหรับสินค้ากึ่งสำเร็จรูป)",""
"BOM No. for a Finished Good Item","หมายเลข BOM สำหรับสินค้าสำเร็จรูป",""
"BOM Operation","การดำเนินการ BOM",""
"BOM Operations Time","เวลาการดำเนินการ BOM",""
"BOM Qty","ปริมาณ BOM",""
"BOM Rate","อัตรา BOM",""
"BOM Scrap Item","รายการเศษ BOM",""
"BOM Search","ค้นหา BOM",""
"BOM Stock Calculated","คำนวณสต็อก BOM แล้ว",""
"BOM Stock Report","รายงานสต็อก BOM",""
"BOM Tree","โครงสร้าง BOM",""
"BOM UoM","หน่วยวัด BOM",""
"BOM Update Batch","อัปเดตชุด BOM",""
"BOM Update Initiated","เริ่มการอัปเดต BOM แล้ว",""
"BOM Update Log","บันทึกการอัปเดต BOM",""
"BOM Update Tool","เครื่องมืออัปเดต BOM",""
"BOM Update Tool Log with job status maintained","บันทึกเครื่องมืออัปเดต BOM พร้อมสถานะงานที่บำรุงรักษา",""
"BOM Updation already in progress. Please wait until {0} is complete.","การอัปเดต BOM กำลังดำเนินการอยู่ โปรดรอจนกว่า {0} จะเสร็จสิ้น",""
"BOM Updation is queued and may take a few minutes. Check {0} for progress.","การอัปเดต BOM อยู่ในคิวและอาจใช้เวลาสองสามนาที โปรดตรวจสอบ {0} สำหรับความคืบหน้า",""
"BOM Variance Report","รายงานความแปรปรวนของ BOM",""
"BOM Website Item","รายการ BOM บนเว็บไซต์",""
"BOM Website Operation","การดำเนินการ BOM บนเว็บไซต์",""
"BOM and Manufacturing Quantity are required","ต้องการ BOM และปริมาณการผลิต",""
"BOM and Production","BOM และการผลิต",""
"BOM does not contain any stock item","BOM ไม่มีรายการสต็อกใด ๆ",""
"BOM recursion: {0} cannot be child of {1}","การวนซ้ำ BOM: {0} ไม่สามารถเป็นลูกของ {1} ได้",""
"BOM recursion: {1} cannot be parent or child of {0}","การวนซ้ำ BOM: {1} ไม่สามารถเป็นพ่อแม่หรือลูกของ {0} ได้",""
"BOM {0} does not belong to Item {1}","BOM {0} ไม่ได้เป็นของรายการ {1}",""
"BOM {0} must be active","BOM {0} ต้องเปิดใช้งาน",""
"BOM {0} must be submitted","BOM {0} ต้องถูกส่ง",""
"BOM {0} not found for the item {1}","ไม่พบ BOM {0} สำหรับรายการ {1}",""
"BOMs Updated","อัปเดต BOM แล้ว",""
"BOMs created successfully","สร้าง BOM สำเร็จแล้ว",""
"BOMs creation failed","การสร้าง BOM ล้มเหลว",""
"BOMs creation has been enqueued, kindly check the status after some time","การสร้าง BOM ได้ถูกจัดคิวแล้ว โปรดตรวจสอบสถานะหลังจากเวลาผ่านไป",""
"CC","สำเนาถึง",""
"CC To","สำเนาถึง",""
"CI.YY.","CI.YY.",""
"CMD","CMD",""
"CN waiting","CN รอทำลาย",""
"CN00.YY-DATE..MM-DATE..DD-DATE.-.###","CN00.YY-DATE..MM-DATE..DD-DATE.-.###",""
"CN04.YY-DATE..MM-DATE..DD-DATE.-.###","CN04.YY-DATE..MM-DATE..DD-DATE.-.###",""
"CN05.YY-DATE..MM-DATE..DD-DATE.-.###","CN05.YY-DATE..MM-DATE..DD-DATE.-.###",""
"CN06.YY-DATE..MM-DATE..DD-DATE.-.###","CN06.YY-DATE..MM-DATE..DD-DATE.-.###",""
"CN07.YY-DATE..MM-DATE..DD-DATE.-.###","CN07.YY-DATE..MM-DATE..DD-DATE.-.###",""
"CN09.YY-DATE..MM-DATE..DD-DATE.-.###","CN09.YY-DATE..MM-DATE..DD-DATE.-.###",""
"CN10.YY-DATE..MM-DATE..DD-DATE.-.###","CN10.YY-DATE..MM-DATE..DD-DATE.-.###",""
"CN11.YY-DATE..MM-DATE..DD-DATE.-.###","CN11.YY-DATE..MM-DATE..DD-DATE.-.###",""
"CN12.YY-DATE..MM-DATE..DD-DATE.-.###","CN12.YY-DATE..MM-DATE..DD-DATE.-.###",""
"CN13.YY-DATE..MM-DATE..DD-DATE.-.###","CN13.YY-DATE..MM-DATE..DD-DATE.-.###",""
"CODE-39","CODE-39",""
"COGS By Item Group","COGS ตามกลุ่มสินค้า",""
"COGS Debit","COGS เดบิต",""
"COLOR PICKER","ตัวเลือกสี",""
"CRM","CRM",""
"CRM Note","บันทึก CRM",""
"CRM Settings","การตั้งค่า CRM",""
"CRM-LEAD-.YYYY.-","CRM-LEAD-.YYYY.-",""
"CRM-OPP-.YYYY.-","CRM-OPP-.YYYY.-",""
"CSS","CSS",""
"CSS Class","คลาส CSS",""
"CSS selector for the element you want to highlight.","ตัวเลือก CSS สำหรับองค์ประกอบที่คุณต้องการเน้น",""
"CSV","CSV",""
"CTA Label","ป้าย CTA",""
"CTA URL","URL ของ CTA",""
